Time (ms), PV cell voltage (mV), Biosensor current (nA)
125304,493.5,1191.125,
125507,490.25,1180.75,
125711,490.875,1190.625,
125914,493.625,1185.625,
126116,489.625,1182.75,
126326,492.75,1192.125,
126523,492.875,1182.125,
126726,489.5,1186.375,
126930,493.5,1191.5,
127132,490.625,1181.375,
127335,490.25,1191.5,
127538,493.625,1187.25,
127742,489.75,1180.75,
127944,492.625,1191.25,
128148,493.125,1182.875,
128350,489.5,1186.875,
128554,493.375,1192,
128758,490.75,1180.625,
128960,490.125,1189.75,
129163,493.625,1188.625,
129367,489.75,1181.625,
129570,492.375,1192.125,
129772,493.375,1182.75,
129975,489.5,1183.5,
130179,493.25,1191.5,
130381,491.25,1181.625,
130585,489.75,1190.375,
130788,493.5,1189.625,
130991,489.875,1180.375,
131195,492,1190.875,
131398,493.5,1183.375,
131600,489.5,1183.875,
131805,493.125,1192.25,
132006,491.75,1180.875,
132209,489.625,1188.75,
132413,493.625,1189.375,
132616,490,1181,
132818,491.75,1191.875,
133022,493.625,1183.375,
133225,489.5,1182.125,
133428,493.125,1191,
133632,492.25,1181.625,
133834,489.5,1189.125,
134037,493.5,1190.875,
134240,490.25,1180.375,
134443,490.75,1189.875,
134646,493.625,1185.125,
134849,489.625,1182,
135052,492.875,1192.25,
135256,492.875,1181.875,
135460,489.5,1186.375,
135662,493.5,1191.25,
135865,490.5,1181.125,
136068,490.25,1191.25,
136271,493.625,1187.75,
136474,489.75,1180.875,
136678,492.5,1191.125,
136880,493.25,1183,
137083,489.5,1186.125,
137288,493.375,1192.5,
137489,490.875,1181.125,
137693,490,1189.625,
137897,493.625,1189.375,
138099,489.875,1181.75,
138302,492.125,1192.5,
138505,493.5,1183.875,
138710,489.5,1183.625,
138911,493.25,1192,
139116,491.625,1182.25,
139317,489.625,1190.5,
139521,493.625,1190.875,
139724,489.875,1180.875,
139928,491.375,1191.125,
140130,493.625,1184.5,
140334,489.375,1183.875,
140536,493.125,1193.125,
140740,492.125,1181.875,
140944,489.5,1189.125,
141147,493.625,1190.625,
141350,490.125,1181.625,
